image_name,label,final_state_label,deviated_score,mean_intensity
A - 1(fld 1 wv DAPI - DAPI),95,cluster2,0.8398702797686345,119.94890594482422
A - 1(fld 1 wv DAPI - DAPI),96,cluster2,0.9861876231000336,119.28534698486328
A - 1(fld 1 wv DAPI - DAPI),97,cluster2,0.9595563429101356,137.11390686035156
A - 1(fld 1 wv DAPI - DAPI),98,cluster1,0.0041758015865718,145.0386199951172
A - 1(fld 1 wv DAPI - DAPI),99,cluster1,0.0002772964533957,130.88475036621094
A - 1(fld 1 wv DAPI - DAPI),100,cluster2,0.9555826326809348,107.5074234008789
A - 1(fld 1 wv DAPI - DAPI),101,cluster2,0.9089301963158924,132.69374084472656
A - 1(fld 1 wv DAPI - DAPI),102,cluster1,0.0387652625360971,131.6941680908203
A - 1(fld 1 wv DAPI - DAPI),103,uncertain,0.7910886819706519,109.24969482421876
A - 1(fld 1 wv DAPI - DAPI),104,cluster1,0.0135335521247062,134.1019287109375
A - 1(fld 1 wv DAPI - DAPI),105,cluster1,0.0005294588894598,143.81802368164062
A - 1(fld 1 wv DAPI - DAPI),106,uncertain,0.6548193438209249,108.5397720336914
A - 1(fld 1 wv DAPI - DAPI),107,cluster1,0.1699456594747342,109.0544662475586
A - 1(fld 1 wv DAPI - DAPI),108,cluster1,3.329959164128497e-05,132.0167999267578
A - 1(fld 1 wv DAPI - DAPI),109,cluster1,0.3077551631625377,117.75287628173828
A - 1(fld 1 wv DAPI - DAPI),110,cluster1,1.1558592009581796e-06,114.95882415771484
A - 1(fld 1 wv DAPI - DAPI),111,cluster1,0.006393619857508,131.5517578125
A - 1(fld 1 wv DAPI - DAPI),112,uncertain,0.587066531287503,108.8455047607422
A - 1(fld 1 wv DAPI - DAPI),113,cluster2,0.985338035602772,119.58393096923828
A - 1(fld 1 wv DAPI - DAPI),114,cluster1,0.0014817274234982,137.15089416503906
A - 1(fld 1 wv DAPI - DAPI),115,cluster2,0.9886551629392398,111.5204849243164
A - 1(fld 1 wv DAPI - DAPI),116,cluster1,0.0050027061449382,144.52841186523438
A - 1(fld 1 wv DAPI - DAPI),117,cluster2,0.896239150854396,114.14837646484376
A - 1(fld 1 wv DAPI - DAPI),118,cluster1,0.0687565755463669,109.43631744384766
A - 1(fld 1 wv DAPI - DAPI),119,cluster2,0.9864199978000604,117.63330078125
A - 1(fld 1 wv DAPI - DAPI),120,cluster2,0.962179690928028,125.75409698486328
A - 1(fld 1 wv DAPI - DAPI),121,cluster2,0.9904670305172264,114.7599105834961
A - 1(fld 1 wv DAPI - DAPI),122,cluster1,0.0034689856576343,141.4760284423828
A - 1(fld 1 wv DAPI - DAPI),123,cluster1,1.1936936965621236e-07,131.4591064453125
A - 1(fld 1 wv DAPI - DAPI),124,cluster2,0.8852516051194615,110.32238006591795
A - 1(fld 1 wv DAPI - DAPI),125,cluster1,3.0472026015944323e-06,153.0587615966797
A - 1(fld 1 wv DAPI - DAPI),126,cluster1,0.0022720892198515,135.24266052246094
A - 1(fld 1 wv DAPI - DAPI),127,cluster2,0.9983413063544836,114.47349548339844
A - 1(fld 1 wv DAPI - DAPI),128,cluster1,0.0081733369948422,142.66725158691406
A - 1(fld 1 wv DAPI - DAPI),129,cluster1,9.531180035510252e-07,139.61146545410156
A - 1(fld 1 wv DAPI - DAPI),130,cluster1,2.860079118135932e-05,144.8629608154297
A - 1(fld 1 wv DAPI - DAPI),131,cluster2,0.9157675120852572,108.66600799560548
A - 1(fld 1 wv DAPI - DAPI),132,cluster1,0.0193635524547907,128.57742309570312
A - 1(fld 1 wv DAPI - DAPI),133,cluster1,0.0002241187353336,139.1731414794922
A - 1(fld 1 wv DAPI - DAPI),134,cluster2,0.9990940160808212,126.58642578125
A - 1(fld 1 wv DAPI - DAPI),135,cluster2,0.8922879116827517,109.71858978271484
A - 1(fld 1 wv DAPI - DAPI),136,uncertain,0.6629329730080152,109.6950454711914
A - 1(fld 1 wv DAPI - DAPI),137,cluster1,0.0006947386135772,140.60079956054688
A - 1(fld 1 wv DAPI - DAPI),138,cluster2,0.9996535178810808,120.05657958984376
A - 1(fld 1 wv DAPI - DAPI),139,cluster2,0.9308916498522484,108.2340087890625
A - 1(fld 1 wv DAPI - DAPI),140,cluster1,0.0666499816473483,109.76839447021484
A - 1(fld 1 wv DAPI - DAPI),141,cluster2,0.9997474063883768,119.0777587890625
A - 1(fld 1 wv DAPI - DAPI),142,cluster2,0.9959230982372062,111.41112518310548
A - 1(fld 1 wv DAPI - DAPI),144,cluster2,0.9863256038436043,109.4473648071289
A - 1(fld 1 wv DAPI - DAPI),145,cluster2,0.9993888891552202,121.21878051757812
A - 1(fld 1 wv DAPI - DAPI),146,uncertain,0.3768911099956116,125.80825805664062
A - 1(fld 1 wv DAPI - DAPI),147,cluster1,0.0004309960949763,146.52017211914062
A - 1(fld 1 wv DAPI - DAPI),148,cluster1,0.0011643598635141,130.1756134033203
A - 1(fld 1 wv DAPI - DAPI),149,cluster1,0.0563663009874325,111.33578491210938
A - 1(fld 1 wv DAPI - DAPI),150,cluster2,0.9427865843305568,131.63583374023438
A - 1(fld 1 wv DAPI - DAPI),151,cluster1,0.0023853519403413,138.4339599609375
A - 1(fld 1 wv DAPI - DAPI),152,cluster1,0.0470457680065248,121.27718353271484
A - 1(fld 1 wv DAPI - DAPI),153,cluster1,4.016452769280944e-05,141.86688232421875
A - 1(fld 1 wv DAPI - DAPI),154,cluster1,0.0005244325078358,135.07569885253906
A - 1(fld 1 wv DAPI - DAPI),155,cluster1,0.2108704289312445,112.50122833251952
A - 1(fld 1 wv DAPI - DAPI),156,cluster1,5.218094996529117e-08,151.10687255859375
A - 1(fld 1 wv DAPI - DAPI),157,cluster1,0.0374065665953124,142.4981231689453
A - 1(fld 1 wv DAPI - DAPI),158,cluster2,0.9992059868788704,118.40203857421876
A - 1(fld 1 wv DAPI - DAPI),159,cluster1,3.715677855455403e-06,142.16795349121094
A - 1(fld 1 wv DAPI - DAPI),160,uncertain,0.6747753332296332,113.63797760009766
A - 1(fld 1 wv DAPI - DAPI),161,cluster1,1.6759861651165335e-06,150.3317108154297
A - 1(fld 1 wv DAPI - DAPI),162,cluster2,0.9150926897991486,115.14059448242188
A - 1(fld 1 wv DAPI - DAPI),163,cluster1,0.0718973651599398,115.12741088867188
A - 1(fld 1 wv DAPI - DAPI),164,cluster2,0.9984753244862208,125.18065643310548
A - 1(fld 1 wv DAPI - DAPI),165,cluster2,0.9988184681429552,114.7841339111328
A - 1(fld 1 wv DAPI - DAPI),166,cluster2,0.9931925083795302,113.35360717773438
A - 1(fld 1 wv DAPI - DAPI),167,cluster1,2.937165448714962e-06,145.87286376953125
A - 1(fld 1 wv DAPI - DAPI),168,uncertain,0.7680354997856181,120.37139129638672
A - 1(fld 1 wv DAPI - DAPI),169,cluster1,0.0004985703790228,128.43817138671875
A - 1(fld 1 wv DAPI - DAPI),170,cluster2,0.993155115257954,107.55606079101562
A - 1(fld 1 wv DAPI - DAPI),171,cluster2,0.9998414155581394,115.24324035644533
A - 1(fld 1 wv DAPI - DAPI),172,cluster2,0.9990867298028816,115.24803924560548
A - 1(fld 1 wv DAPI - DAPI),173,cluster1,8.093935188207922e-08,159.87904357910156
A - 1(fld 1 wv DAPI - DAPI),174,cluster1,0.0019788037344919,124.00675964355467
A - 1(fld 1 wv DAPI - DAPI),175,cluster1,0.1109478215003862,133.13812255859375
A - 1(fld 1 wv DAPI - DAPI),176,cluster1,0.0003002882303954,144.0035858154297
A - 1(fld 1 wv DAPI - DAPI),177,cluster1,0.0004573504039053,148.7838134765625
A - 1(fld 1 wv DAPI - DAPI),178,cluster1,0.0149361756965873,119.67916870117188
A - 1(fld 1 wv DAPI - DAPI),179,cluster2,0.9929321170456336,113.4227294921875
A - 1(fld 1 wv DAPI - DAPI),180,cluster2,0.9970022692612188,140.03944396972656
A - 1(fld 1 wv DAPI - DAPI),181,cluster1,1.247356715911414e-05,140.884765625
A - 1(fld 1 wv DAPI - DAPI),183,cluster1,0.0193801288560486,137.4440460205078
A - 1(fld 1 wv DAPI - DAPI),184,cluster1,9.526040800750995e-06,152.20852661132812
A - 1(fld 1 wv DAPI - DAPI),185,cluster1,0.0236416480504153,134.56228637695312
A - 1(fld 1 wv DAPI - DAPI),186,cluster1,0.3030929859340107,119.30660247802734
A - 1(fld 1 wv DAPI - DAPI),187,uncertain,0.4897511806250729,111.17638397216795
A - 1(fld 1 wv DAPI - DAPI),188,cluster1,0.0059798103598021,152.0514678955078
A - 1(fld 1 wv DAPI - DAPI),189,cluster2,0.9999084515310596,122.24674224853516
A - 1(fld 1 wv DAPI - DAPI),190,cluster2,0.9972476412110906,123.58030700683594
A - 1(fld 1 wv DAPI - DAPI),191,cluster1,0.003658517960608,146.92904663085938
